rawsum,joint_angle,
1215,143.8005573,36.1994427
1234,145.2317077,34.7682923
1237,146.662858,33.337142
1325,148.0940083,31.9059917
1247,150.9563089,29.0436911
1227,150.9592634,29.0407366
1270,150.9622179,29.0377821
1346,150.9651723,29.0348277
1428,150.9710813,29.0289187
1348,151.3250159,28.6749841
1533,151.6789504,28.3210496
1708,152.032885,27.967115
1591,152.3868196,27.6131804
1637,153.0946888,26.9053112
1685,153.0186374,26.9813626
1730,152.942586,27.057414
1790,152.8665347,27.1334653
1821,152.7904833,27.2095167
1842,152.6383805,27.3616195
1875,153.0740369,26.9259631
1970,153.5096933,26.4903067
2154,153.9453496,26.0546504
2209,154.381006,25.618994
2265,155.2523188,24.7476812
2377,157.2068261,22.7931739
2438,159.1613334,20.8386666
2424,161.1158407,18.8841593
2554,163.070348,16.929652
2600,166.9793627,13.0206373
2627,166.2704704,13.7295296
2721,165.5615781,14.4384219
2658,164.8526858,15.1473142
2575,164.1437935,15.8562065
2428,162.7260089,17.2739911
2193,163.8842195,16.1157805
1736,165.0424302,14.9575698
1362,166.2006408,13.7993592
969,167.3588514,12.6411486
611,169.6752727,10.3247273
374,169.6517209,10.3482791
184,169.6281691,10.3718309
64,169.6046173,10.3953827
15,169.5810655,10.4189345
0,169.5339619,10.4660381
0,169.591507,10.408493
0,169.6490522,10.3509478
0,169.7065973,10.2934027
0,169.7641424,10.2358576
0,169.8792326,10.1207674
0,169.4547693,10.5452307
0,169.030306,10.969694
0,168.6058428,11.3941572
0,168.1813795,11.8186205
0,167.3324529,12.6675471
0,166.7861028,13.2138972
0,166.2397528,13.7602472
0,165.6934027,14.3065973
0,165.1470526,14.8529474
0,164.0543525,15.9456475
0,161.4301199,18.5698801
0,158.8058873,21.1941127
0,156.1816546,23.8183454
0,150.9331894,29.0668106
0,149.7758801,30.2241199
0,148.6185709,31.3814291
0,147.4612617,32.5387383
0,146.3039525,33.6960475
0,145.1466433,34.8533567
0,142.8320248,37.1679752
0,139.8111898,40.1888102
0,136.7903548,43.2096452
0,133.7695198,46.2304802
0,130.7486849,49.2513151
0,124.7070149,55.2929851
0,123.2780195,56.7219805
0,121.8490241,58.1509759
0,120.4200288,59.5799712
0,117.562038,62.437962
0,118.8082815,61.1917185
0,120.054525,59.945475
0,121.3007685,58.6992315
0,123.7932554,56.2067446
0,124.1279509,55.8720491
0,124.4626463,55.5373537
0,124.7973417,55.2026583
0,125.1320371,54.8679629
